Fabric,ProductName,POLYESTER,NYLON,POLYURETHANE,RAYON,POLYPROPYLENE,MODAL,POLYETHYLENE,COTTON,PTT,CUPRA,ACETATE,CORDURA,SILK,SPNDEX,Weight,Thick,LastStretchLength,LastStretchForce
WOVEN,HN 2704 W/S,100,0,0,0,0,0,0,0,0,0,0,0,0,0,12.222,0.33,60.0,1.24
WOVEN,TD 0172,24,0,0,0,0,0,0,0,0,0,76,0,0,0,15.657,0.47,60.0,0.48
WOVEN,NOBLE 1048 DS PRINT 2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,19.949,0.48,30.0,0.368
WOVEN,578077,29,0,0,0,0,0,0,0,0,0,71,0,0,0,21.01,0.6,60.0,0.225
WOVEN,TD0243,35,0,0,0,0,0,0,0,0,0,65,0,0,0,20.101,0.56,60.0,0.27
WOVEN,578033,21,0,0,0,0,0,0,0,0,0,79,0,0,0,22.323,0.59,60.0,0.41
WOVEN,TMK5500,100,0,0,0,0,0,0,0,0,0,0,0,0,0,24.444,0.64,40.0,0.204
WOVEN,150310-2,0,0,0,0,0,80,0,0,0,0,0,0,20,0,5.758,0.21,60.0,0.351
WOVEN,DSS-07,38,0,0,0,0,0,0,62,0,0,0,0,0,0,7.576,0.37,50.0,0.3
WOVEN,D0770,22,0,0,0,0,0,0,0,0,0,78,0,0,0,28.737,0.65,50.0,0.306
WOVEN,577390,24,0,0,0,0,0,0,0,0,0,76,0,0,0,23.737,0.56,50.0,0.347
KNIT,DN-J03568-SR02,65,0,0,35,0,0,0,0,0,0,0,0,0,0,12.071,0.45,100.0,1.8
KNIT,DN-J03551-SD01,51,0,0,0,0,0,0,49,0,0,0,0,0,0,17.879,0.63,100.0,0.448
KNIT,DP-J52015-SD30,62,0,4,34,0,0,0,0,0,0,0,0,0,0,18.788,0.56,100.0,0.64
KNIT,DN-J03841-SD01,45,0,0,55,0,0,0,0,0,0,0,0,0,0,14.747,0.49,100.0,0.28
KNIT,DN-T50122-SD30,53,0,3,6,0,0,0,38,0,0,0,0,0,0,22.98,0.99,120.0,0.16
KNIT,DP-J02010-SD01,0,0,42,58,0,0,0,0,0,0,0,0,0,0,16.061,0.46,100.0,0.392
KNIT,DN-T50020-SD30,38,0,4,0,0,0,0,58,0,0,0,0,0,0,19.697,0.96,120.0,0.15
KNIT,J18-0933,36,0,0,0,0,0,0,64,0,0,0,0,0,0,16.869,0.84,120.0,0.046
KNIT,DN-J03590-SR01,45,0,0,55,0,0,0,0,0,0,0,0,0,0,17.172,0.71,120.0,0.252
KNIT,SST-S1981,73,0,4,23,0,0,0,0,0,0,0,0,0,0,23.687,0.64,100.0,0.172
KNIT,DN-J03570-SR01,42,0,0,58,0,0,0,0,0,0,0,0,0,0,17.273,0.5,100.0,0.07
KNIT,SST-S1202,0,0,0,0,0,0,0,100,0,0,0,0,0,0,14.545,0.55,100.0,0.414
KNIT,TEX-6060,0,0,0,0,0,0,0,100,0,0,0,0,0,0,23.384,0.81,100.0,1.81
KNIT,DN-J01150-SD04,12,12,0,76,0,0,0,0,0,0,0,0,0,0,16.313,0.49,100.0,0.8
KNIT,DN-J03488-SD04,31,0,0,69,0,0,0,0,0,0,0,0,0,0,12.424,0.49,100.0,0.21
KNIT,SST-S652-2,0,0,0,0,0,40,0,60,0,0,0,0,0,0,13.838,0.51,120.0,0.146
KNIT,J18-0915,43,0,0,0,0,57,0,0,0,0,0,0,0,0,16.919,0.54,100.0,0.223
KNIT,JY-O-SD869,0,0,5,0,0,95,0,0,0,0,0,0,0,0,20.707,0.7,120.0,0.063
KNIT,CP-177087P-3,26,0,4,0,0,0,0,70,0,0,0,0,0,0,21.768,0.75,100.0,0.52
KNIT,DN-J03805-SB01,40,0,0,0,0,0,0,60,0,0,0,0,0,0,15.354,0.57,120.0,0.075
KNIT,SLUB TEXTURED JERSEY,77,0,4,19,0,0,0,0,0,0,0,0,0,0,24.343,0.85,120.0,0.114
KNIT,DN-T50121-SR30,0,0,4,0,0,0,0,96,0,0,0,0,0,0,27.929,1.25,100.0,0.132
KNIT,SST-S3494,0,30,5,65,0,0,0,0,0,0,0,0,0,0,26.566,0.74,100.0,0.422
KNIT,JY-O-KW216,0,0,5,0,0,95,0,0,0,0,0,0,0,0,14.091,0.5,120.0,0.143
KNIT,BPTS-PN17091,0,0,35,0,0,65,0,0,0,0,0,0,0,0,16.212,0.67,100.0,0.38
KNIT,BPTS-8279,0,0,36,0,0,64,0,0,0,0,0,0,0,0,18.889,0.65,100.0,0.86
KNIT,DN-J51182-SR30,0,0,5,66,0,0,0,29,0,0,0,0,0,0,23.838,0.91,120.0,0.086
KNIT,DN-J03803-SD02,36,0,0,8,0,0,0,56,0,0,0,0,0,0,20,0.71,120.0,0.15
KNIT,TEX-7086,29,0,3,0,0,68,0,0,0,0,0,0,0,0,28.586,0.86,120.0,0.14
KNIT,DN-J03815-SR01,67,0,0,33,0,0,0,0,0,0,0,0,0,0,25.101,0.94,120.0,0.312
WOVEN,SI-6532EMBO,100,0,0,0,0,0,0,0,0,0,0,0,0,0,5.96,0.2,60.0,0.93
