Fabric,Usage,ProductName,POLYESTER,NYLON,POLYURETHANE,RAYON,POLYPROPYLENE,MODAL,POLYETHYLENE,COTTON,PTT,CUPRA,ACETATE,CORDURA,SILK,SPNDEX,혼용율,구성원사/번수,밀도,조직,후가공,Weight,Thick,WeightOut,ThickOut,OUTPUT,,,,,,,,,,
knit,"active, top",애플스판,,,,,,,,,,,,,,,,,,,,16.717,0.54,,,,,,,,,,,,,
knit,"active, top",GO-663,88,,12,,,,,,,,,,,,"POLYESTER 88%, POLYURETHANE 12%","P75D/72F DTY, PF50D/36F(88%), SP30D(12%)",,EYELET MESH,,14.848,0.45,,,,,,,,,,,,,
knit,"active, top",SP-8075P,89,,11,,,,,,,,,,,,"POLYESTER 89%, POLYURETHANE 11%",,,,,14.394,0.51,,,,,,,,,,,,,
knit,"active, top",GO-1005,92,,8,,,,,,,,,,,,"POLYESTER 92%, POLYURETHANE 8%","P75D/72F DTY(92%), SP20D(8%)",,,,25.101,0.74,,,,,,,,,,,,,
knit,active,GO-2163,92,,8,,,,,,,,,,,,"POLYESTER 92%, POLYURETHANE 8%","P150D/144F(92%), SP(8%)",,SINGLE SAPN(양도),,26.515,0.54,,,,,,,,,,,,,
knit,"active, top",GO-1752,89,,11,,,,,,,,,,,,"POLYESTER 89%, POLYURETHANE 11%","P75D/72F DTY(85%), SP30D(11%), PF30D/24F(4%)",,,,14.495,0.46,,,,,,,,,,,,,
knit,active,SP-7157P,91,,9,,,,,,,,,,,,"POLYESTER 91%, POLYURETHANE 9%",,,,,21.111,0.67,,,,,,,,,,,,,
knit,"active, top",아델후라스판,,,,,,,,,,,,,,,,,,,,23.283,0.86,,,,,,,,,,,,,
knit,active,GO-1207CN,92,,8,,,,,,,,,,,,"POLYESTER(COTNA) 92%, POLYURETHANE 8%","COTNA P160D/108F(92%), SP40D(8%)",,양면민자,,25.101,0.58,,,,,,,,,,,,,
knit,active,14123A,85,,15,,,,,,,,,,,,"POLYESTER 85%, POLYURETHANE 15%",,,,,31.061,0.78,,,,,,,,,,,,,
knit,"active, outer, top",NY ATY SP70,,85,15,,,,,,,,,,,,"NYLON 85%, POLYURETHANE 15%",,,,,32.576,0.8,,,,,,,,,,,,,
knit,"active, top",GO-2255PPL,93,,7,,,,,,,,,,,,"POLYESTER(PRIZMA 38%) 93%, POLYURETHANE 7%","P75D/72F DTY(41%), PRIZMA(CDW) P75D/72F(38%), P30D/24",,양면 크라운 (양도),,23.182,0.75,,,,,,,,,,,,,
knit,"active, top",GO-2378CN,85,,15,,,,,,,,,,,,"POLYESTER(COTNA) 85%, POLYURETHANE 15%","COTNA P80D/72F(85%), SP55D(15%)",,,,19.798,0.7,,,,,,,,,,,,,
knit,"active, top",AS-505,28,,6,46,,,,20,,,,,,,"RAYON 46%, COTTON 20%, POLYESTER 28%, POLYURETHANE 6%",,,,,14.949,0.46,,,,,,,,,,,,,
knit,"active, top",GO-1231-BR2,92,,8,,,,,,,,,,,,"POLYESTER 92%, POLYURETHANE 8%","COTNA P160D/144F(92%), SP30D(8%)",,,,21.515,0.73,,,,,,,,,,,,,
knit,"active, top",TN-611A,,,,,,,,,,,,,,,"CM(COMPACT)[93%], BSY(COTTON DYEABLE)[7%]",CM(COMPACT) 40'S/1[93%]+BSY(COTTON DYEABLE)30D[7%],,,,15.253,0.52,,,,,,,,,,,,,
knit,active,KIRA-110,,80,20,,,,,,,,,,,,"NYLON 80%, POLYURETHANE 20%",,,WET PRINT,,20.455,0.59,,,,,,,,,,,,,
knit,"active, top",SST-S3494,,30,5,65,,,,,,,,,,,"RAYON 65%, NYLON 30%, POLYURETHANE 5%",,,,,26.566,0.74,,,,,,,,,,,,,
knit,"active, top",마들렌스판,,,,,,,,,,,,,,,,,,,,15.455,0.55,,,,,,,,,,,,,
knit,active,GO-1699,86,,14,,,,,,,,,,,,"POLYESTER 86%, POLYURETHANE 14%","P150D/144F(86%), SP70D(14%)",,SINGLE SPAN,,29.495,0.73,,,,,,,,,,,,,
knit,"active, top",TEX-6709,,,10,,,50,,40,,,,,,,"MODAL 50%, COTTON 40%, POLYURETHANE 10%",,,,,18.081,0.66,,,,,,,,,,,,,
knit,"active, top",,,,,,,,,,,,,,,,,,,,,19.192,0.72,,,,,,,,,,,,,
knit,"active, top",TI-7113,96,,4,,,,,,,,,,,,"POLYESTER 96%, POLYURETHANE 4%",,,,,11.364,0.53,,,,,,,,,,,,,
knit,"active, top",GO-2244P-CDP,96,,4,,,,,,,,,,,,"POLYESTER 96%, POLYURETHANE 4%","P75D/36F BRT(56%), CD P150D/48F(40%), SP30D(4%)",,,,14.747,0.6,,,,,,,,,,,,,
knit,active,DNT-4034,,76,24,,,,,,,,,,,,"NYLON 76%, POLYURETHANE 24%",,,,,16.616,0.4,,,,,,,,,,,,,
knit,active,GO-2237,85,,15,,,,,,,,,,,,"POLYESTER 85%, POLYURETHANE 15%","P150D/48F DTY 원착 BLACK(85%), SP70D(15%)",,SINGLE SAPN,,32.172,0.76,,,,,,,,,,,,,
knit,"active, top",DNT-6645,,75,25,,,,,,,,,,,,"NYLON 75%, POLYURETHANE 25%",,,원착 BLACK,,16.919,0.41,,,,,,,,,,,,,
knit,"active, top",FD-4128,,80,20,,,,,,,,,,,,"NYLON 80%, POLYURETHANE 20%",,,,,20.455,0.55,,,,,,,,,,,,,
knit,"active, top",SJD-427P,95,,5,,,,,,,,,,,,"POLYESTER 95%, POLYURETHANE 5%",,,,,22.222,0.73,,,,,,,,,,,,,
knit,"active, outer, top",SMKW-5084-105,52,,,,,,,,48,,,,,,"POLYESTER 52%, PTT 48%",,,,,22.071,0.66,,,,,,,,,,,,,
knit,"active, top",아토믹60스판,,,,,,,,,,,,,,,,,,,,16.414,0.5,,,,,,,,,,,,,
knit,"active, outer, top",15033A,,77,23,,,,,,,,,,,,"NYLON6 77%, POLYURETHANE 23%",,,,,27.374,0.64,,,,,,,,,,,,,
knit,active,DNNT-6545,,71,29,,,,,,,,,,,,"NYLON 71%, POLYURETHANE 29%",,,,,20.253,0.43,,,,,,,,,,,,,
knit,active,GO-1255,92,,8,,,,,,,,,,,,"POLYESTER 92%, POLYURETHANE 8%","P75D/36F DTY(58%), P50D/36F DTY(37%), SP15D(5%)",,,,22.879,0.71,,,,,,,,,,,,,
knit,active,GO-1202,93,,7,,,,,,,,,,,,"POLYESTER 93%, POLYURETHANE 7%","P75D/72F DTY(93%), SP20D(7%)",,,,26.515,0.66,,,,,,,,,,,,,
knit,active,27. 오가닉코튼 60수,,,,,,,,,,,,,,,,,,,,15.606,0.52,,,,,,,,,,,,,
knit,active,DT-2135,74,,26,,,,,,,,,,,,"POLYESTER 74%, POLYURETHANE 26%",,,,,23.586,0.61,,,,,,,,,,,,,
knit,"active, top",F9398,,95,5,,,,,,,,,,,,NYLON 95% POLYURETHANE 5%,,,"DOUBLE, JACQUARD","BRUSHING, COMB, FLEECE, DOUBLE DYE",29.646,1.18,,,,,,,,,,,,,
knit,"active, outer, top",SMKW-5084-108,52,,,,,,,,48,,,,,,"POLYESTER 52%, PTT 48%",,,,,21.465,0.53,,,,,,,,,,,,,
knit,"active, outer",AMS-7048S,97,,3,,,,,,,,,,,,POLYESTER 97% POLYURETHANE 3%,,,,fleece,30.606,1.02,,,,,,,,,,,,,
knit,"active, outer",SFY392,43,49,8,,,,,,,,,,,,NYLON 49% POLYESTER 43% POLYURETHANE 8%,,129*200,,,21.364,0.79,,,,,,,,,,,,,
woven,active,#1826 WR,,82,18,,,,,,,,,,,,"NYLON 82%, POLYURETHANE 18%",N30D 2WAY,,,WR,10.202,0.27,,,,,,,,,,,,,
woven,active,#1711 WR,,88,12,,,,,,,,,,,,"NYLON 88%, POLYURETHANE 12%",,,,"PD, WR",12.323,0.32,,,,,,,,,,,,,
woven,"active, top, dress",NEW 2045 TASLAN,,100,,,,,,,,,,,,,NYLON 100%,N/F 20FD * N/F 45/48 FD ATY (REGEN),,,"PD, WR, WS+A/WS",6.061,0.17,,,,,,,,,,,,,
woven,"active, top, dress",A44PL,,100,,,,,,,,,,,,,NYLON 100%,N/F 40FD DTY * N/F 40FD DTY 66,160*114,,"PD, WR",5.909,0.19,,,,,,,,,,,,,
woven,active,#1623 TPS A/WS,,100,,,,,,,,,,,,,NYLON 100%,,,,"PD, WR, TPS, A/WS",4.091,0.07,,,,,,,,,,,,,
woven,active,CYS15,,100,,,,,,,,,,,,,NYLON 100%,N20D*N22D,,,,7.576,0.11,,,,,,,,,,,,,
woven,"active, top, dress",,,,,,,,,,,,,,,,,,,,,6.667,0.23,,,,,,,,,,,,,
woven,"active, dress",Shan-680RE,,100,,,,,,,,,,,,,NYLON 100%,"N20D 1WAY SPAN, 경사: N20D/24F FD DTY 위사: REGEN20.20 F.Y FD+PU20D",,,,5.657,0.18,,,,,,,,,,,,,
woven,"active, outer",KP-218KP(XP),,100,,,,,,,,,,,,,NYLON 100%,,,,DOWNPROOF (IDFL20-1)& DULL,3.737,0.07,,,,,,,,,,,,,
woven,"active, outer, top",CYSFJ-064,,93,7,,,,,,,,,,,,"NYLON 93%, POLYURETHANE 7%",,,,,15.253,0.39,,,,,,,,,,,,,
woven,active,SN-115C6AWSC0,,100,,,,,,,,,,,,,NYLON 100%,,,,"PD, WR",3.434,0.07,,,,,,,,,,,,,
woven,"active, outer, top",CYSYR-007,92,,8,,,,,,,,,,,,"POLYESTER 92%, POLYURETHANE 8%",,,,,18.081,0.38,,,,,,,,,,,,,
woven,"active, top, dress",,,,,,,,,,,,,,,,,,,,,7.071,0.23,,,,,,,,,,,,,
woven,"active, top",H4410,100,,,,,,,,,,,,,,POLYESTER 100%,P/DTY50D 잠재권축사*P/DTY50D 잠재권축사,,,"PD, WR",9.646,0.31,,,,,,,,,,,,,
woven,active,CYS17,,100,,,,,,,,,,,,,NYLON 100%,N20D*N23D,,,,8.838,0.19,,,,,,,,,,,,,
woven,"active, dress",SB-P30 STELLA,100,,,,,,,,,,,,,,POLYESTER 100%,P DTY 30 SD * P DTY 30D (고신축),,,"PD, WR, Pu",5.505,0.18,,,,,,,,,,,,,
woven,"active, outer, top",CYSZD-0300,,90,10,,,,,,,,,,,,"NYLON 90%, POLYURETHANE 10%",,,,,13.485,0.44,,,,,,,,,,,,,
woven,active,#1752 PD WR,,86,14,,,,,,,,,,,,"NYLON 86%, POLYURETHANE 14%",,,,"PD, WR",17.222,0.36,,,,,,,,,,,,,
woven,"active, top",#1750,,90,10,,,,,,,,,,,,"NYLON 90%, POLYURETHANE 10%",,,,W/R,12.929,0.38,,,,,,,,,,,,,
woven,active,CYS02,,100,,,,,,,,,,,,,NYLON 100%,N20D*N20D,,,,4.242,0.06,,,,,,,,,,,,,
woven,active,#1623 HW,,100,,,,,,,,,,,,,NYLON 100%,,,,"PD, WR, HW",4.949,0.11,,,,,,,,,,,,,
woven,active,#1003 WR,,100,,,,,,,,,,,,,NYLON 100%,,,,"WR, AIRSHELL",3.384,0.13,,,,,,,,,,,,,
woven,active,#1840 DP,,82,18,,,,,,,,,,,,"NYLON 82%, POLYURETHANE 18%",,,,"PD, WR, DP, #1829 WIDE VER",9.343,0.24,,,,,,,,,,,,,
woven,active,CYS19,100,,,,,,,,,,,,,,POLYESTER 100%,P50D*P51D,,,,10.303,0.17,,,,,,,,,,,,,
woven,active,GTMS-069,100,,,,,,,,,,,,,,POLYESTER 100%,,,,P/D ,3.788,0.32,,,,,,,,,,,,,
woven,active,SJ-1056,,,3,,,,,48,,49,,,,,"CUPRA 49%, COTTON 48%, POLYURETHANE 3%",,,,,14.444,0.33,,,,,,,,,,,,,
woven,active,CYS03,,100,,,,,,,,,,,,,NYLON 100%,N20D*N20D,,,,3.889,0.08,,,,,,,,,,,,,
woven,"active, outer",PAPI-7604XP,,100,,,,,,,,,,,,,NYLON 100%,,,,"X-PROOF (DOWNPROOF, EN12132-1)& DULL FACE",3.889,0.08,,,,,,,,,,,,,
woven,"active, dress",CYS01,,100,,,,,,,,,,,,,NYLON 100%,N20D*N20D,,,,3.687,0.08,,,,,,,,,,,,,
woven,"active, outer",KKB-1130HZ,59,41,,,,,,,,,,,,,"POLYESTER 59%, NYLON 41%",,,,"W/R, HYPER-CHINTZ(친즈가공)",4.495,0.06,,,,,,,,,,,,,
woven,active,CYS13,,100,,,,,,,,,,,,,NYLON 100%,N20D*N20D,,,,5.758,0.08,,,,,,,,,,,,,
woven,"active, dress",SB-SAM RIS,,100,,,,,,,,,,,,,NYLON 100%,N15 DTY SD * N15 DTY SD,,,"PD, WR, Pu",4.343,0.12,,,,,,,,,,,,,
woven,active,SB-SH 1992,,100,,,,,,,,,,,,,NYLON 100%,N/F 10 BRT * N/F 10 BRT,242*236,,"PD, WR, SILICONE",2.576,0.05,,,,,,,,,,,,,
woven,active,CYS24,100,,,,,,,,,,,,,,POLYESTER 100%,P50D*P51D,,,,13.182,0.18,,,,,,,,,,,,,
woven,"active, outer, top, dress",14. 크리즈인견,,,,,,,,,,,,,,,,,,,,8.485,0.22,,,,,,,,,,,,,
woven,active,CYS21,100,,,,,,,,,,,,,,POLYESTER 100%,P150D*P150D,,,,13.283,0.32,,,,,,,,,,,,,
woven,active,#1032 C2L,,82,18,,,,,,,,,,,,"NYLON 82%, POLYURETHANE 18%",,,,"2L(WP5000/MVP5000), AIRSHELL",10.101,0.22,,,,,,,,,,,,,
woven,"active, top",ATTIVO-703,,100,,,,,,,,,,,,,NYLON 100%,,,,,5.152,0.07,,,,,,,,,,,,,
woven,"active, top",NA5005,,90,10,,,,,,,,,,,,NYLON 90% POLYURETHANE 10%,N50+PU20 * N50+PU20+N75 (중공사),,,"PD, WR",11.768,0.36,,,,,,,,,,,,,
woven,"active, outer, top, dress",24.진흙,,,,,,,,,,,,,,,,,,,,7.677,0.21,,,,,,,,,,,,,
woven,active,CYS14,,100,,,,,,,,,,,,,NYLON 100%,N20D*N21D,,,,5,0.1,,,,,,,,,,,,,
woven,active,CYSFJ-079,91,,9,,,,,,,,,,,,"POLYESTER 91%, POLYURETHANE 9%",,,,,15.051,0.39,,,,,,,,,,,,,
woven,"active, outer",SFT-WKL-001-024,,100,,,,,,,,,,,,,NYLON 100%,N20D(400T),,PLAIN,,4.04,0.09,,,,,,,,,,,,,
woven,active,SB-H7013,,91,9,,,,,,,,,,,,NYLON 91% POLYURETHANE 9%,N30D FD * N30D FD + PU20,212*132,,"PD, WR",6.717,0.2,,,,,,,,,,,,,
woven,active,SB-YF 25,,100,,,,,,,,,,,,,NYLON 100%,N/F 20D SD * N/F 20D SD,215*178,,"WR, DOWN PROOF, CIT",3.788,0.08,,,,,,,,,,,,,
woven,"active, top",SB-UQ75FD,100,,,,,,,,,,,,,,POLYESTER 100%,P/F 75/48 FD DTY(MS) * P/F 75/48 FD DTY(MS),140*142,,"PD, WR",11.061,0.35,,,,,,,,,,,,,
woven,"active, dress",SB-FB 400,,100,,,,,,,,,,,,,NYLON 100%,N15D * N15D,204*204,,"GH, WR, PU, 실리콘",3.737,0.12,,,,,,,,,,,,,
woven,active,678059,34,66,,,,,,,,,,,,,"NYLON 66%, POLYESTER 34%",,,PLAIN,MELANGE,7.727,0.15,,,,,,,,,,,,,
woven,"active, outer, top",#YPS-15077,,35,,,,,,65,,,,,,,"COTTON 65%, NYLON 35%",,,,"PD, WR, PEACH, PU C/T, A/WS",10.253,0.24,,,,,,,,,,,,,
woven,active,CYS18,100,,,,,,,,,,,,,,POLYESTER 100%,P50D*P50D,,,,7.374,0.19,,,,,,,,,,,,,
woven,active,CYS26,100,,,,,,,,,,,,,,POLYESTER 100%,P75D*P75D,,,,13.434,0.47,,,,,,,,,,,,,
woven,"active, outer, top, dress",15.몬테스코팅,,,,,,,,,,,,,,,,,,,,6.364,0.17,,,,,,,,,,,,,
woven,active,SB-HK S105S,,100,,,,,,,,,,,,,NYLON 100%,N/F 20 BRT * N/F 20 BRT + N/F 70SD,205*175,,,4.899,0.11,,,,,,,,,,,,,
